,method,roc,r2,annual_r2,seasonal_r2,spatial_r2,bias
41,shuffle_all_0,0.5162966809671148,0.0075931119409893425,0.020498473032901532,0.006308692423869111,0.015824071089238556,0.05557028992952174
42,shuffle_all_1,0.5203094374961609,0.005987332820375202,0.07705379853110716,0.02306766570198948,0.013470055433220218,0.04699662359812385
43,shuffle_all_2,0.5233615539025356,0.005560431690745709,-0.021869480184500967,-0.052718345350124096,-0.00676345800235012,0.0032137890647264537
44,shuffle_all_3,0.518281827805592,0.002739380600745561,0.117576478184095,-0.03348364949194793,-0.0032996660785400422,-0.011070087195832594
45,shuffle_all_4,0.5231425614165464,0.005148777538839031,0.11317797224720394,-0.018104537771628904,-0.014708159122410747,-0.002570365799653206
46,shuffle_all_5,0.5237920407261762,0.009010480071247691,0.024068790846050847,-0.013706110144299899,-0.0023982028737643546,0.01209464069905436
47,shuffle_all_6,0.5225269094894989,0.00728476106524585,-0.009420376475424375,-0.018330256333747075,-0.01107316611487974,-0.021481775371254615
48,shuffle_all_7,0.5234371417387715,0.005936467120170734,0.05898178374900209,0.05640574501556739,0.001003364724853184,-0.013672719553674441
49,shuffle_all_8,0.5172507837346032,0.0051528843539335,-0.009752729743992106,0.05048452729632735,0.01861683480183496,-0.004808249919613415
50,shuffle_all_9,0.5198696769731024,0.008294183002548907,-0.05179876676719952,-0.03618425160928007,0.0018363414340335504,-0.005277462167861165
