Log_CMIPBA,Log_StatModelBA
-3.379116684,-2.799908847
-3.650362303,-2.797680256
-2.989087079,-2.794155539
-3.253264516,-2.792447642
-3.569095746,-2.789340732
-3.396160437,-2.787745256
-3.083453483,-2.787683235
-3.48092347,-2.787388603
-3.359680324,-2.786776945
-3.724583482,-2.786734571
-3.330454424,-2.785779468
-3.477590988,-2.784435523
-3.71684951,-2.782909031
-3.498092005,-2.782383508
-2.635505252,-2.782029673
-3.464847232,-2.7817552
-3.541118809,-2.78060656
-2.970662774,-2.780105569
-3.110687004,-2.77985521
-3.078201742,-2.779609056
-3.319106096,-2.779006755
-3.222443993,-2.778209539
-3.683077572,-2.776965675
-3.752255346,-2.77680072
-3.229673573,-2.775890768
-3.633483075,-2.775648925
-3.606133258,-2.774433384
-3.432534229,-2.774315363
-3.197710066,-2.774097749
-3.472857044,-2.773041942
-2.989769692,-2.772813202
-3.664953153,-2.771971772
-3.650131462,-2.770377297
-2.888184324,-2.766986451
-3.235818851,-2.766307182
-3.489132659,-2.766080218
-3.632821851,-2.765892056
-3.483796962,-2.765641428
-2.690425148,-2.764865203
-3.673150856,-2.763637227
-3.14578056,-2.763630387
-3.508533549,-2.762633549
-3.275982576,-2.762074783
-3.439571109,-2.761282946
-3.448820685,-2.759664761
-3.364469442,-2.75879344
-3.553351656,-2.758654959
-3.066195909,-2.757353576
-3.617438727,-2.756265841
-3.342605681,-2.755305081
-3.042958074,-2.754729668
-3.215765835,-2.754378802
-3.673983922,-2.75421496
-3.603990408,-2.754058447
-3.593798457,-2.753023198
-3.490525313,-2.752649325
-3.595883187,-2.749743515
-3.565840379,-2.747884392
-2.835490052,-2.74516812
-2.677673192,-2.744723511
-3.709668313,-2.744563631
-3.675923614,-2.743800797
-3.467874536,-2.743046214
-3.616374498,-2.741450079
-3.583503578,-2.74137779
-3.47463125,-2.739063877
-3.198963837,-2.738796321
-3.092417675,-2.73845681
-3.385028609,-2.738120925
-2.778356622,-2.737585606
-2.876291046,-2.737096386
-3.699664152,-2.736982572
-3.355027258,-2.736529457
-3.077724784,-2.73564986
-2.921015103,-2.735577785
-3.283810719,-2.734618985
-3.036232914,-2.734498906
-3.626693262,-2.733896166
-3.070874249,-2.733612156
-3.233850887,-2.733191302
-3.549894034,-2.73130014
-2.784089385,-2.730954413
-3.477149323,-2.72998117
-3.537802448,-2.728507232
-3.39948861,-2.727864937
-3.201697633,-2.726253271
-3.555190317,-2.725941209
-3.341706126,-2.725699481
-3.393906203,-2.725109687
-3.615322192,-2.723080847
-3.110443747,-2.722598928
-3.284418668,-2.722392059
-3.388142093,-2.721949672
-3.033013546,-2.721949309
-3.367428728,-2.721193496
-3.541989891,-2.720881508
-3.46414385,-2.719618665
-3.38880803,-2.719611299
-2.87768257,-2.71897146
-3.39253913,-2.718657916
-3.685276462,-2.718512085
-2.770228722,-2.718248129
-2.864640359,-2.717991438
-3.021086524,-2.717012331
-2.996900044,-2.712081048
-3.615790687,-2.710424101
-3.498443737,-2.709762863
-3.588384484,-2.709747891
-2.653230847,-2.709021265
-3.227285955,-2.708495996
-3.335476199,-2.708146287
-2.725396544,-2.707469726
-3.341216623,-2.705037859
-3.132982174,-2.702581203
-3.377976851,-2.700426933
-3.389045716,-2.700209354
-3.330079628,-2.699549335
-3.669167608,-2.699396771
-3.215747391,-2.699084297
-3.53762681,-2.698342845
-3.024439395,-2.698239166
-3.004206301,-2.69810538
-2.883827219,-2.696873611
-3.512556392,-2.696787404
-3.487316165,-2.694863684
-3.017498634,-2.694778885
-3.303195174,-2.694342487
-3.111425126,-2.692895743
-3.065112935,-2.691153724
-2.634444203,-2.690322096
-3.035813174,-2.689721637
-3.538914885,-2.689551337
-3.454472048,-2.689129871
-3.397024419,-2.688633899
-2.956842933,-2.687497706
-3.422141945,-2.686933804
-3.114483227,-2.686389686
-3.169736956,-2.685815739
-2.66361359,-2.684125904
-3.418415302,-2.683629624
-2.58899948,-2.682346838
-2.867208703,-2.681529466
-3.539485552,-2.681228863
-3.412509831,-2.681121128
-3.38530976,-2.679098417
-3.249158699,-2.678035547
-3.135532894,-2.676653635
-3.643398923,-2.674573928
-3.685526265,-2.674507671
-3.187813097,-2.6742259
-3.547628556,-2.673979646
-3.494805204,-2.673573361
-3.381558653,-2.673539737
-3.302114515,-2.673396449
-3.549661282,-2.672788692
-3.716948793,-2.672582489
-2.98189596,-2.6725324
-2.767717736,-2.671895064
-2.994879293,-2.671696739
-3.435256351,-2.670905132
-2.921484403,-2.670636266
-2.891787583,-2.669770651
-3.372043143,-2.668716527
-2.78099847,-2.667083311
-2.466305791,-2.665602003
-3.60049716,-2.665472008
-3.676156098,-2.665396605
-2.865545068,-2.664250618
-3.715708639,-2.663903429
-3.647854927,-2.661560857
-2.863444173,-2.661294383
-2.659362864,-2.661232955
-3.675561207,-2.657362481
-3.616643205,-2.657354085
-2.526821454,-2.654739136
-3.604415562,-2.654234358
-3.514974331,-2.653424867
-3.694770728,-2.652912363
-3.452752984,-2.652446467
-2.839860896,-2.649929829
-3.334772736,-2.649020582
-3.648153268,-2.646855098
-3.374352049,-2.645277484
-3.265249474,-2.644883641
-3.632946265,-2.640476578
-3.095516103,-2.639643728
-3.404393738,-2.639051087
-3.532050541,-2.638057067
-3.327093272,-2.637468814
-2.952999117,-2.636849061
-3.386658142,-2.636195117
-3.417475621,-2.635789024
-3.612028435,-2.634822645
-3.039116669,-2.634807952
-3.588111737,-2.634678132
-3.400720568,-2.633746681
-2.621992236,-2.632729246
-3.413863003,-2.631757633
-3.600619051,-2.631578434
-2.672953544,-2.631015636
-2.974729584,-2.630206351
-2.911193987,-2.629202295
-2.660247991,-2.628637794
-2.723343617,-2.627973079
-3.652239195,-2.627100429
-2.632156868,-2.625118549
-3.539482575,-2.623871411
-3.330905447,-2.623452303
-3.582808296,-2.623080303
-2.738692244,-2.617779417
-3.242879086,-2.617515662
-2.561600642,-2.615453693
-3.459343142,-2.614334802
-3.330968338,-2.613671525
-3.323736316,-2.613325822
-3.098204361,-2.611688704
-2.80684626,-2.611354953
-2.684942253,-2.610638397
-3.181394866,-2.610131742
-2.906333624,-2.608547758
-3.387694646,-2.60840478
-3.422387792,-2.607592231
-3.447521421,-2.607156884
-3.212130328,-2.605805676
-2.80475221,-2.605171197
-3.613447866,-2.604730604
-3.498337771,-2.604713406
-3.171314135,-2.603813105
-3.433202863,-2.602602324
-3.430900626,-2.602332428
-3.725582925,-2.602301222
-3.070212895,-2.601935734
-3.424125049,-2.601506189
-2.770201253,-2.601339417
-3.367781389,-2.601028734
-3.404053381,-2.599760275
-3.573665685,-2.59953064
-3.195158869,-2.599259923
-3.590848897,-2.598897372
-3.382488599,-2.597303855
-3.436223128,-2.596979442
-3.424314724,-2.596448777
-3.42612526,-2.595434813
-3.403504175,-2.595318836
-2.507901694,-2.595187073
-2.645388116,-2.593924078
-2.901685174,-2.593744872
-2.53056728,-2.592806065
-2.704526364,-2.592742682
-3.423546427,-2.589840035
-3.540687007,-2.588193905
-3.359467927,-2.588148911
-3.43116449,-2.58784049
-3.588629526,-2.585301091
-3.60314242,-2.584644529
-2.783212403,-2.584477286
-3.238885419,-2.583598514
-3.656361367,-2.582232897
-2.895141406,-2.58113455
-3.711470242,-2.581023343
-3.369858114,-2.580402691
-2.666708405,-2.579604766
-2.769502437,-2.579521764
-2.498866741,-2.57890632
-3.518005312,-2.578097184
-3.014732465,-2.57582183
-3.48727396,-2.575305136
-3.570111753,-2.574849717
-3.553510199,-2.573849
-3.118261761,-2.57381734
-3.062588276,-2.571353963
-2.780698657,-2.570457307
-2.510592041,-2.569750768
-3.332150598,-2.569561292
-2.593875439,-2.569363505
-3.186199874,-2.568675917
-3.665810126,-2.56747103
-3.576964368,-2.567399447
-2.469879062,-2.565957682
-2.644806395,-2.56531625
-3.539540049,-2.564243674
-3.468695999,-2.563835045
-3.359438358,-2.563772374
-3.219237706,-2.561718247
-3.539905152,-2.561651266
-3.049550367,-2.561415422
-2.684268954,-2.56122626
-2.515861188,-2.56069237
-3.446671398,-2.560438743
-2.794930415,-2.560068898
-3.566689159,-2.559254204
-3.393482901,-2.558735678
-2.905531872,-2.558485256
-3.639035784,-2.557809522
-3.378670787,-2.557331547
-3.153296861,-2.5573028
-2.761886436,-2.557242187
-3.222150252,-2.556795182
-3.36457044,-2.555809586
-3.4131477,-2.555636883
-2.587980382,-2.554972137
-2.78657428,-2.553604018
-3.196083363,-2.55328377
-3.019512714,-2.552188486
-3.198499648,-2.551404847
-3.308858023,-2.551100026
-2.769022679,-2.550786745
-3.593431212,-2.550517905
-3.20806858,-2.549387609
-3.21020561,-2.54874444
-3.369516247,-2.548605726
-2.993747168,-2.548331284
-3.447865507,-2.54676995
-2.770760229,-2.546593945
-2.858589119,-2.545469277
-3.634454906,-2.544992294
-2.895719232,-2.542828682
-2.678681505,-2.542178203
-3.412286826,-2.541845212
-3.344456692,-2.541219454
-3.306671914,-2.539049668
-2.619635684,-2.539044956
-3.207786205,-2.536454926
-3.320149054,-2.536319933
-2.687330622,-2.535300481
-3.076890558,-2.534965009
-3.344653534,-2.534705819
-3.263906834,-2.53411243
-2.602325355,-2.533504865
-3.401585379,-2.533286523
-3.063789214,-2.532701821
-3.158638392,-2.532490125
-2.73664342,-2.529918474
-3.106161381,-2.528906434
-2.980771565,-2.527781902
-3.404961648,-2.52730881
-2.896480968,-2.52634387
-3.512521519,-2.526298007
-3.258386917,-2.524959242
-3.020847786,-2.523837566
-3.689603154,-2.523635632
-2.626346336,-2.523570618
-2.472231236,-2.522605545
-2.701578813,-2.521968602
-3.317513533,-2.521936056
-3.669726112,-2.521634546
-3.408879057,-2.521587328
-3.468675717,-2.521062928
-3.620027959,-2.518237493
-3.467666643,-2.518042428
-3.523872196,-2.51762909
-3.339513103,-2.517360482
-3.312668183,-2.515571457
-2.779779148,-2.514972745
-3.452144557,-2.514803739
-3.535636664,-2.514240077
-3.401886573,-2.51378388
-3.678494549,-2.513696446
-2.527665321,-2.513696219
-3.210210124,-2.513251665
-2.804346447,-2.51307094
-3.241084926,-2.512016641
-2.532380983,-2.511759656
-3.445929195,-2.511208619
-3.421774781,-2.508008462
-3.186892446,-2.506572843
-2.575498467,-2.506273359
-2.602673219,-2.504929
-3.557069522,-2.504471662
-3.209434291,-2.504054332
-2.718008272,-2.503912677
-3.652449637,-2.50162981
-3.231322726,-2.50140657
-2.669387541,-2.500745345
-2.68536106,-2.500685274
-3.436346659,-2.500401637
-2.733962344,-2.498813566
-3.077077497,-2.49843224
-3.382999239,-2.498403674
-3.789485082,-2.49700865
-2.655539398,-2.49556861
-2.669616128,-2.494824397
-3.312271023,-2.494082591
-3.694768456,-2.493094511
-2.597450606,-2.492537921
-3.036754011,-2.490423375
-2.541647254,-2.490123234
-2.700735282,-2.489563448
-3.691475647,-2.488500227
-3.264315383,-2.487993427
-3.631145246,-2.487083273
-2.870089698,-2.484027926
-3.48099438,-2.483992115
-3.253789171,-2.483617607
-3.585707182,-2.482710349
-3.468177179,-2.482113642
-2.685403704,-2.481923415
-2.671836534,-2.481905998
-3.192388267,-2.48106628
-3.303207443,-2.480218389
-3.676512947,-2.47984251
-3.47596859,-2.478453904
-3.434068866,-2.478269156
-3.045708911,-2.477853635
-3.319907247,-2.477671211
-3.307260332,-2.477670374
-2.786281037,-2.477635598
-3.595465614,-2.476951379
-3.338062739,-2.476843221
-2.735625584,-2.476221879
-3.156040031,-2.475799405
-2.786697494,-2.475458784
-3.41428886,-2.474412045
-2.994721144,-2.472886397
-2.616804706,-2.472524553
-2.740914095,-2.472182266
-3.280857009,-2.471781577
-3.003506678,-2.471668354
-3.554742916,-2.468820404
-2.662520439,-2.46868401
-3.580424998,-2.467826775
-2.490878851,-2.467753932
-3.331965081,-2.467123814
-2.623747717,-2.467113307
-2.879582664,-2.465434755
-2.739826785,-2.465259477
-2.944711577,-2.464419851
-2.446468469,-2.464153708
-3.515743649,-2.463594439
-2.928654802,-2.462563663
-3.426910225,-2.460481951
-3.422639371,-2.458082987
-2.635986218,-2.457845344
-3.600164681,-2.457268963
-2.732005782,-2.456867168
-3.091836038,-2.456296769
-2.68823915,-2.455924762
-3.017109408,-2.455797569
-3.310834494,-2.455766224
-3.110624003,-2.45537351
-3.336568883,-2.454315586
-2.504999229,-2.453723778
-2.984892033,-2.452949607
-3.260841538,-2.452656508
-3.02384453,-2.452599559
-2.857138441,-2.450902158
-2.729574775,-2.450297925
-3.287894478,-2.449548994
-3.216294316,-2.448670542
-2.687102634,-2.448385775
-2.573350904,-2.448348081
-3.672700618,-2.446616186
-2.690936209,-2.44600199
-3.142114317,-2.445842914
-3.413524447,-2.445005217
-3.565093918,-2.443047365
-2.741358529,-2.441706681
-3.28606241,-2.440588238
-3.616860478,-2.440431915
-3.489346533,-2.438933173
-2.736149622,-2.438514357
-3.012408447,-2.437910298
-3.434020837,-2.437667239
-3.490224288,-2.437607877
-3.161814386,-2.437168341
-3.131032363,-2.436604992
-2.77070834,-2.436040215
-3.568400092,-2.435637422
-2.720610641,-2.435498277
-3.374478586,-2.433957216
-3.121727883,-2.433777949
-3.451086377,-2.433636374
-3.26600404,-2.43125562
-2.895173609,-2.430644206
-3.260529622,-2.42969624
-3.494369877,-2.428701238
-2.93181637,-2.428663578
-2.619564734,-2.42844271
-2.937580178,-2.428094236
-2.652472332,-2.427825855
-2.766595197,-2.427529665
-3.463364631,-2.426399058
-3.06738979,-2.424394609
-3.557595259,-2.424205357
-3.033823843,-2.423380638
-3.077778739,-2.422977576
-3.628558819,-2.422570402
-3.282863614,-2.42123311
-3.577598147,-2.419605614
-3.141827302,-2.419378573
-3.1589816,-2.419281064
-3.198261798,-2.418633602
-3.412373097,-2.41749671
-3.357008561,-2.417288196
-3.309131684,-2.416346132
-3.516509853,-2.416160332
-3.605693276,-2.415864755
-3.59070279,-2.414167609
-3.614515199,-2.413088125
-3.159235605,-2.413013698
-3.632458127,-2.412850388
-2.689318051,-2.412807135
-2.602321042,-2.412697342
-2.963396985,-2.412122304
-2.684687955,-2.41115502
-3.525754652,-2.410662094
-2.95322373,-2.409998591
-2.850686107,-2.408250691
-3.509600717,-2.405094076
-3.368287833,-2.4050066
-3.194202585,-2.404623727
-3.321693026,-2.404362312
-2.655483467,-2.403704925
-2.626802551,-2.402843101
-2.602304948,-2.402829984
-3.197935283,-2.401590179
-2.600261215,-2.401535101
-3.634046062,-2.400905395
-2.630003365,-2.400106554
-3.692093476,-2.399301122
-2.570279688,-2.399155882
-3.122290336,-2.398753666
-2.845295856,-2.398537004
-3.185666734,-2.397646637
-2.807093338,-2.394831969
-3.658590133,-2.392487951
-3.554292882,-2.392310619
-3.403932617,-2.391683528
-3.654169207,-2.391538201
-3.489492358,-2.391115424
-3.129140223,-2.390741415
-3.488460688,-2.389348143
-2.54543997,-2.386911782
-2.476858992,-2.386283257
-3.084232063,-2.386085684
-2.850526953,-2.385457141
-3.651934751,-2.383315161
-2.713299057,-2.381916555
-2.958040162,-2.380676519
-3.167215265,-2.380117808
-2.580523387,-2.379771993
-3.208018957,-2.379539534
-2.535105498,-2.379269476
-2.936115298,-2.379027588
-3.158647257,-2.378788221
-3.094956192,-2.378272911
-3.422013856,-2.378095825
-2.807936681,-2.374446822
-3.357362009,-2.373869579
-3.240084045,-2.373403448
-3.204216794,-2.373144672
-2.944558158,-2.373006421
-2.996583889,-2.372838001
-2.701958646,-2.371353508
-3.102324965,-2.370733853
-2.903183836,-2.369896574
-2.680072527,-2.368753747
-3.16718669,-2.368168248
-2.603296622,-2.368166441
-2.93531988,-2.367644479
-2.697705049,-2.367320422
-3.554081205,-2.367085958
-3.401005297,-2.367015314
-3.046715998,-2.365620843
-2.869730186,-2.365272179
-2.742162214,-2.362776827
-3.506322738,-2.361978909
-3.193567147,-2.361890363
-2.909971347,-2.361195379
-3.227673972,-2.361080214
-3.089928134,-2.360859128
-3.497566247,-2.360439779
-3.664419258,-2.35973039
-3.289900618,-2.359233251
-3.699298598,-2.35840775
-3.061901997,-2.357941885
-3.220760074,-2.357725906
-3.13891273,-2.357183036
-2.891288695,-2.357162682
-2.808970836,-2.356444772
-3.354500929,-2.356359079
-3.215262485,-2.354280179
-3.591845267,-2.354142225
-3.399954894,-2.353983838
-3.248984832,-2.352925805
-3.115782854,-2.351996107
-3.102736846,-2.351276402
-3.421052911,-2.350823302
-3.485985714,-2.350660529
-2.959202372,-2.350102875
-2.692346992,-2.349369648
-3.587801481,-2.348657012
-3.489625658,-2.348630859
-3.273284319,-2.347997504
-2.760026426,-2.346548448
-3.415061464,-2.345977009
-2.691479902,-2.345709552
-2.687752009,-2.344475386
-3.36599558,-2.344128087
-2.683410513,-2.342817867
-3.58455372,-2.341466232
-2.953526358,-2.340845741
-3.528214211,-2.340697233
-3.269234382,-2.339460352
-3.305885497,-2.338915218
-3.490151035,-2.338095344
